,t,t_date,RA,Dec,VR
0,2018.08214,2018-30-01,-0.03260,-0.00549,3292
1,2018.16427,2018-01-03,-0.02646,-0.00951,3671
2,2018.24641,2018-31-03,-0.01824,-0.01273,4056
3,2018.26557,2018-07-04,-0.01590,-0.01322,4106
4,2018.28474,2018-14-04,-0.01335,-0.01354,4111
5,2018.30390,2018-21-04,-0.01058,-0.01364,4042
6,2018.32307,2018-28-04,-0.00760,-0.01345,3859
7,2018.32854,2018-30-04,-0.00671,-0.01333,3780
8,2018.33402,2018-02-05,-0.00581,-0.01319,3688
9,2018.33949,2018-04-05,-0.00489,-0.01301,3581
10,2018.34497,2018-06-05,-0.00396,-0.01280,3460
11,2018.35044,2018-08-05,-0.00302,-0.01256,3324
12,2018.35592,2018-10-05,-0.00207,-0.01228,3174
13,2018.35866,2018-11-05,-0.00160,-0.01212,3093
14,2018.36140,2018-12-05,-0.00112,-0.01196,3009
15,2018.36413,2018-13-05,-0.00064,-0.01179,2922
16,2018.36687,2018-14-05,-0.00016,-0.01161,2832
17,2018.36961,2018-15-05,0.00032,-0.01143,2739
18,2018.37235,2018-16-05,0.00079,-0.01123,2644
19,2018.37509,2018-17-05,0.00127,-0.01103,2545
20,2018.37782,2018-18-05,0.00175,-0.01081,2445
21,2018.38056,2018-19-05,0.00222,-0.01059,2343
22,2018.38330,2018-20-05,0.00269,-0.01036,2240
23,2018.38604,2018-21-05,0.00316,-0.01013,2135
24,2018.38877,2018-22-05,0.00363,-0.00988,2029
25,2018.39151,2018-23-05,0.00410,-0.00963,1922
26,2018.39425,2018-24-05,0.00456,-0.00937,1815
27,2018.39973,2018-26-05,0.00547,-0.00884,1601
28,2018.40520,2018-28-05,0.00637,-0.00827,1389
29,2018.41068,2018-30-05,0.00725,-0.00769,1182
30,2018.41615,2018-01-06,0.00811,-0.00708,979
31,2018.43532,2018-08-06,0.01094,-0.00485,335
32,2018.45448,2018-15-06,0.01350,-0.00249,-193
33,2018.53662,2018-15-07,0.02166,0.00770,-1375
34,2018.61875,2018-14-08,0.02682,0.01697,-1723
35,2018.70089,2018-13-09,0.03032,0.02523,-1817
36,2018.78303,2018-13-10,0.03281,0.03267,-1824
37,2018.86516,2018-12-11,0.03463,0.03946,-1798
38,2018.94730,2018-12-12,0.03597,0.04570,-1759
39,2019.02943,2019-11-01,0.03697,0.05151,-1715
40,2019.11157,2019-10-02,0.03769,0.05693,-1670
41,2019.19370,2019-12-03,0.03820,0.06204,-1626
42,2019.27584,2019-11-04,0.03853,0.06686,-1584
43,2019.35797,2019-11-05,0.03872,0.07142,-1543
44,2019.85079,2019-07-11,0.03777,0.09474,-1332
45,2020.34360,2020-05-05,0.03477,0.11306,-1169
46,2020.83641,2020-01-11,0.03067,0.12791,-1035
