,t,t_date,RA,Dec,VR
0,2018.08214,2018-30-01,-0.03257,-0.00550,3290
1,2018.16427,2018-01-03,-0.02644,-0.00954,3673
2,2018.24641,2018-31-03,-0.01821,-0.01273,4064
3,2018.26557,2018-07-04,-0.01588,-0.01322,4121
4,2018.28474,2018-14-04,-0.01330,-0.01352,4106
5,2018.30390,2018-21-04,-0.01055,-0.01362,4043
6,2018.32307,2018-28-04,-0.00754,-0.01345,3861
7,2018.32854,2018-30-04,-0.00669,-0.01334,3782
8,2018.33402,2018-02-05,-0.00575,-0.01321,3686
9,2018.33949,2018-04-05,-0.00483,-0.01302,3580
10,2018.34497,2018-06-05,-0.00391,-0.01279,3440
11,2018.35044,2018-08-05,-0.00298,-0.01254,3324
12,2018.35592,2018-10-05,-0.00202,-0.01226,3173
13,2018.35866,2018-11-05,-0.00155,-0.01211,3078
14,2018.36140,2018-12-05,-0.00106,-0.01195,3010
15,2018.36413,2018-13-05,-0.00060,-0.01177,2905
16,2018.36687,2018-14-05,-0.00009,-0.01159,2816
17,2018.36961,2018-15-05,0.00036,-0.01142,2742
18,2018.37235,2018-16-05,0.00085,-0.01121,2637
19,2018.37509,2018-17-05,0.00132,-0.01100,2534
20,2018.37782,2018-18-05,0.00179,-0.01077,2440
21,2018.38056,2018-19-05,0.00228,-0.01057,2328
22,2018.38330,2018-20-05,0.00276,-0.01034,2237
23,2018.38604,2018-21-05,0.00323,-0.01009,2136
24,2018.38877,2018-22-05,0.00369,-0.00987,2019
25,2018.39151,2018-23-05,0.00416,-0.00961,1897
26,2018.39425,2018-24-05,0.00461,-0.00934,1796
27,2018.39973,2018-26-05,0.00551,-0.00880,1602
28,2018.40520,2018-28-05,0.00641,-0.00825,1381
29,2018.41068,2018-30-05,0.00730,-0.00765,1175
30,2018.41615,2018-01-06,0.00814,-0.00706,966
31,2018.43532,2018-08-06,0.01100,-0.00481,315
32,2018.45448,2018-15-06,0.01356,-0.00245,-203
33,2018.53662,2018-15-07,0.02171,0.00775,-1358
34,2018.61875,2018-14-08,0.02685,0.01701,-1719
35,2018.70089,2018-13-09,0.03033,0.02528,-1831
36,2018.78303,2018-13-10,0.03283,0.03271,-1817
37,2018.86516,2018-12-11,0.03464,0.03947,-1807
38,2018.94730,2018-12-12,0.03598,0.04573,-1731
39,2019.02943,2019-11-01,0.03697,0.05154,-1709
40,2019.11157,2019-10-02,0.03768,0.05698,-1673
41,2019.19370,2019-12-03,0.03819,0.06206,-1623
42,2019.27584,2019-11-04,0.03851,0.06688,-1599
43,2019.35797,2019-11-05,0.03872,0.07146,-1553
44,2019.85079,2019-07-11,0.03776,0.09475,-1329
45,2020.34360,2020-05-05,0.03475,0.11308,-1167
46,2020.83641,2020-01-11,0.03066,0.12793,-1023
47,2021.32923,2021-01-05,0.02591,0.14012,-930
48,2021.82204,2021-28-10,0.02076,0.15015,-820
49,2022.31485,2022-25-04,0.01535,0.15836,-726
50,2022.80767,2022-22-10,0.00978,0.16497,-658
51,2023.30048,2023-20-04,0.00410,0.17014,-580
52,2023.79329,2023-17-10,-0.00158,0.17399,-513
53,2024.28611,2024-14-04,-0.00727,0.17666,-430
54,2024.77892,2024-11-10,-0.01290,0.17822,-342
55,2025.27173,2025-10-04,-0.01847,0.17865,-284
56,2025.76454,2025-07-10,-0.02393,0.17808,-221
57,2026.25736,2026-04-04,-0.02924,0.17649,-140
58,2026.75017,2026-01-10,-0.03443,0.17394,-75
