,t,t_date,RA,Dec,VR
0,2018.08214,2018-30-01,-0.03257,-0.00548,3335
1,2018.16427,2018-01-03,-0.02643,-0.00950,3717
2,2018.24641,2018-31-03,-0.01820,-0.01273,4119
3,2018.26557,2018-07-04,-0.01588,-0.01323,4159
4,2018.28474,2018-14-04,-0.01331,-0.01354,4169
5,2018.30390,2018-21-04,-0.01053,-0.01364,4098
6,2018.32307,2018-28-04,-0.00754,-0.01343,3908
7,2018.32854,2018-30-04,-0.00665,-0.01332,3809
8,2018.33402,2018-02-05,-0.00575,-0.01318,3731
9,2018.33949,2018-04-05,-0.00486,-0.01299,3615
10,2018.34497,2018-06-05,-0.00391,-0.01279,3481
11,2018.35044,2018-08-05,-0.00297,-0.01255,3356
12,2018.35592,2018-10-05,-0.00201,-0.01225,3208
13,2018.35866,2018-11-05,-0.00154,-0.01210,3106
14,2018.36140,2018-12-05,-0.00107,-0.01195,3026
15,2018.36413,2018-13-05,-0.00058,-0.01178,2920
16,2018.36687,2018-14-05,-0.00011,-0.01159,2846
17,2018.36961,2018-15-05,0.00036,-0.01141,2747
18,2018.37235,2018-16-05,0.00084,-0.01120,2642
19,2018.37509,2018-17-05,0.00131,-0.01102,2540
20,2018.37782,2018-18-05,0.00182,-0.01078,2446
21,2018.38056,2018-19-05,0.00227,-0.01058,2342
22,2018.38330,2018-20-05,0.00274,-0.01033,2236
23,2018.38604,2018-21-05,0.00324,-0.01010,2136
24,2018.38877,2018-22-05,0.00369,-0.00986,2033
25,2018.39151,2018-23-05,0.00415,-0.00959,1894
26,2018.39425,2018-24-05,0.00460,-0.00936,1816
27,2018.39973,2018-26-05,0.00553,-0.00881,1596
28,2018.40520,2018-28-05,0.00642,-0.00824,1376
29,2018.41068,2018-30-05,0.00729,-0.00765,1167
30,2018.41615,2018-01-06,0.00816,-0.00706,982
31,2018.43532,2018-08-06,0.01098,-0.00481,327
32,2018.45448,2018-15-06,0.01354,-0.00244,-217
33,2018.53662,2018-15-07,0.02168,0.00773,-1381
34,2018.61875,2018-14-08,0.02685,0.01703,-1701
35,2018.70089,2018-13-09,0.03032,0.02527,-1815
36,2018.78303,2018-13-10,0.03282,0.03272,-1822
37,2018.86516,2018-12-11,0.03465,0.03949,-1784
38,2018.94730,2018-12-12,0.03599,0.04574,-1738
39,2019.02943,2019-11-01,0.03698,0.05154,-1690
40,2019.11157,2019-10-02,0.03770,0.05696,-1664
